Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,,
Spain,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Egg Crate Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Rebond Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Convoluted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Open-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Closed-Cell Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Microbead Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Polyethylene Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Sculpted Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Ceramic,Whole process,Whole process,EPD,1 kg of tableware product manufactured by Bonna with a lifespan of 1000 uses as defined in PCR.,,1,The source provided kWh/kg of 1kg,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.000508+9.54)*0.277777778,2.650141,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Ceramic,Whole process,Whole process,EPD,,,,,,2.214,,,,,,
Vietnam,Ceramic,Whole process,Whole process,EPD,,,,,,1.668,,,,,,
Global,Ceramic,Whole process,Whole process,EPD,,,,,,1.794,,,,,,
Czech Republic,Ceramic,Whole process,Whole process,EPD,,,,,,1.754,,,,,,
France,Ceramic,Whole process,Whole process,EPD,,,,,,0.204,,,,,,
Netherlands,Ceramic,Whole process,Whole process,EPD,,,,,,1.172,,,,,,
Poland,Ceramic,Whole process,Whole process,EPD,,,,,,2.545,,,,,,
Spain,Ceramic,Whole process,Whole process,EPD,,,,,,0.535,,,,,,
Taiwan,Ceramic,Whole process,Whole process,EPD,,,,,,2.042,,,,,,
United States ,Ceramic,Whole process,Whole process,EPD,,,,,,1.278,,,,,,
India,Ceramic,Whole process,Whole process,EPD,,,,,,3.810,,,,,,
United Kingdom,Ceramic,Whole process,Whole process,EPD,,,,,,0.743,,,,,,
Rest-of-World,Ceramic,Whole process,Whole process,EPD,,,,,,2.729,,,,,,
,Rubber,Whole process,Whole process,EPD,,,1,The source provided kWh/kg of 1kg,EPD Rubberfoot (Rubber) 2024/06/17 - 2029/06/17.pdf,Keep out of backend updates,(14.7*50%)*0.277777779,2.041667,A1-A3 total energy is 14.7. Thnerefor 50% of it was onsidered as ther manufacred energy. Mj to kWh conversion is done,"EPD (The International EPD)
",,
